title,lead,body,publication_date,sections
"Le FC Servette remporte le derby lémanique","Une victoire éclatante face au Lausanne-Sport au Stade de Genève","Le FC Servette s'est imposé 3-1 face au Lausanne-Sport dans un derby lémanique enflammé. Les Grenat ont dominé la rencontre grâce à des buts de Stevanovic, Crivelli et Antunes. Une performance qui confirme leur excellent début de saison en Super League.",2024-10-15 18:30:00,"{Sport,Football,Suisse romande}"
"Vernissage exceptionnel au Musée d'art et d'histoire de Genève","Une nouvelle exposition consacrée à l'art contemporain suisse ouvre ses portes","Le MAH présente une rétrospective de 50 ans d'art contemporain suisse avec des œuvres de Pipilotti Rist, Thomas Hirschhorn et Ugo Rondinone. L'exposition explore les liens entre tradition et modernité dans la création artistique helvétique.",2024-10-15 14:20:00,"{Culture,Arts,Genève}"
"La Suisse face au défi climatique","Le Conseil fédéral présente son plan d'action pour atteindre la neutralité carbone","Après l'acceptation de la loi sur le climat, le gouvernement suisse dévoile sa stratégie pour réduire les émissions de CO2 de 50% d'ici 2030. Les mesures incluent des incitations pour la rénovation énergétique et le développement des transports publics.",2024-10-15 12:00:00,"{Actualités,Environnement,Politique}"
"Roger Federer de retour à Bâle pour la Swiss Indoors","La légende du tennis annonce sa présence au tournoi en tant qu'ambassadeur","Roger Federer fera son grand retour à la Swiss Indoors de Bâle, non pas en tant que joueur mais comme ambassadeur du tournoi. L'ancien numéro un mondial participera à des événements promotionnels et rencontrera les jeunes talents suisses.",2024-10-14 20:15:00,"{Sport,Tennis,Bâle}"
"Le Château de Chillon bat son record de visiteurs","Plus de 400'000 visiteurs en 2024 pour le monument vaudois","Le célèbre château médiéval sur les rives du Léman a accueilli un nombre record de visiteurs cette année. La nouvelle scénographie immersive et les animations nocturnes expliquent ce succès touristique exceptionnel.",2024-10-14 16:45:00,"{Culture,Tourisme,Vaud}"
"Lara Gut-Behrami prête pour la nouvelle saison","La skieuse tessinoise vise le gros globe de cristal","Lara Gut-Behrami aborde la saison de ski alpin avec de grandes ambitions. Après une préparation optimale à Zermatt, la championne olympique se dit prête à décrocher son deuxième gros globe de cristal.",2024-10-14 09:30:00,"{Sport,Ski alpin,Tessin}"
"Festival de jazz de Montreux : les premières têtes d'affiche","Norah Jones et Gregory Porter confirmés pour l'édition 2025","Le Montreux Jazz Festival dévoile les premiers artistes de sa 58e édition. Norah Jones ouvrira le festival tandis que Gregory Porter clôturera les deux semaines de concerts au bord du Léman.",2024-10-13 18:00:00,"{Culture,Musique,Montreux}"
"Référendum sur l'autoroute de contournement lausannois","Les opposants déposent 18'000 signatures à la Chancellerie","Un comité regroupant des associations écologistes a déposé ce matin les signatures nécessaires pour un référendum contre le projet d'autoroute de contournement de Lausanne. Le peuple vaudois sera appelé à se prononcer sur ce dossier controversé.",2024-10-13 15:20:00,"{Actualités,Politique,Vaud}"
"Le CERN annonce une découverte majeure","Les physiciens suisses et internationaux dévoilent de nouvelles particules","L'Organisation européenne pour la recherche nucléaire a confirmé l'observation de nouvelles particules subatomiques grâce au Grand collisionneur de hadrons. Cette découverte pourrait révolutionner notre compréhension de la matière.",2024-10-13 11:00:00,"{Actualités,Sciences,Genève}"
"Le HC Fribourg-Gottéron en tête du championnat","Les Dragons dominent la National League après 12 journées","Avec 10 victoires en 12 matches, le HC Fribourg-Gottéron impressionne en ce début de saison. L'équipe de Roger Rönnberg affiche un jeu collectif solide et peut rêver d'un titre national.",2024-10-12 22:30:00,"{Sport,Hockey sur glace,Fribourg}"
"Locarno Film Festival 2025 : appel à candidatures","Le festival tessinois recherche les pépites du cinéma indépendant","Le Locarno Film Festival lance son appel à films pour l'édition 2025. Les cinéastes du monde entier ont jusqu'au 15 janvier pour soumettre leurs œuvres à l'un des plus prestigieux festivals de cinéma européens.",2024-10-12 17:00:00,"{Culture,Cinéma,Tessin}"
"Forte hausse du tourisme d'hiver dans les Grisons","Les stations grisonnes anticipent une excellente saison","Davos, St-Moritz et Arosa enregistrent déjà des taux de réservation record pour la saison d'hiver 2024-2025. L'engouement des touristes asiatiques et américains pour le ski suisse explique cette tendance favorable.",2024-10-12 14:30:00,"{Actualités,Tourisme,Grisons}"
"Murat Yakin prolonge son contrat avec l'équipe de Suisse","Le sélectionneur national reste jusqu'en 2026","La fédération suisse de football a annoncé la prolongation du contrat de Murat Yakin jusqu'après la Coupe du monde 2026. Le Bâlois a convaincu par ses résultats lors de l'Euro 2024.",2024-10-11 19:45:00,"{Sport,Football,Équipe nationale}"
"Le Théâtre de Vidy présente sa saison 2024-2025","Une programmation audacieuse mêlant classiques et créations contemporaines","Le directeur Vincent Baudriller dévoile une saison riche avec des metteurs en scène de renom comme Ivo van Hove et Christiane Jatahy. Le théâtre lausannois mise sur l'innovation et l'ouverture internationale.",2024-10-11 16:00:00,"{Culture,Théâtre,Lausanne}"
"Grève nationale des services publics","Les syndicats appellent à une mobilisation massive ce jeudi","Les employés des CFF, de La Poste et des services cantonaux sont appelés à manifester pour de meilleures conditions salariales. Des perturbations sont à prévoir dans les transports publics.",2024-10-11 08:00:00,"{Actualités,Social,Suisse}"
"Granit Xhaka élu capitaine de l'année en Bundesliga","Le milieu suisse brille avec le Bayer Leverkusen","L'ancien capitaine de l'équipe de Suisse Granit Xhaka reçoit le trophée de meilleur capitaine de Bundesliga. Son leadership et ses performances exceptionnelles ont mené Leverkusen au titre de champion d'Allemagne invaincu.",2024-10-10 21:00:00,"{Sport,Football,International}"
"L'Orchestre de la Suisse romande fête ses 90 ans","Concert anniversaire à Victoria Hall avec des solistes prestigieux","L'OSR célèbre neuf décennies d'excellence musicale avec un concert exceptionnel réunissant d'anciens chefs et solistes. Le programme inclut des œuvres de compositeurs suisses et des classiques du répertoire symphonique.",2024-10-10 18:30:00,"{Culture,Musique classique,Genève}"
"Augmentation du prix de l'électricité en Suisse romande","Les ménages romands paieront 15% de plus dès janvier","Les fournisseurs d'électricité annoncent une hausse significative des tarifs pour 2025. Cette augmentation s'explique par la flambée des prix sur le marché européen de l'énergie.",2024-10-10 13:00:00,"{Actualités,Économie,Suisse romande}"
"La sélection suisse de curling qualifiée pour les Mondiaux","L'équipe emmenée par Alina Pätz décroche son billet","Les cureuses suisses ont brillé lors du championnat d'Europe à Genève, assurant leur qualification pour les championnats du monde. La Suisse confirme sa place parmi les nations majeures du curling.",2024-10-09 20:00:00,"{Sport,Curling,Suisse}"
"Le Musée olympique de Lausanne accueille une expo sur Simone Biles","Retour sur le parcours de la gymnaste américaine la plus titrée","Une exposition interactive retrace la carrière exceptionnelle de Simone Biles. Les visiteurs peuvent découvrir ses tenues de compétition, ses médailles et même s'essayer à la réalité virtuelle pour expérimenter ses figures acrobatiques.",2024-10-09 15:45:00,"{Culture,Sport,Lausanne}"
"Vendanges 2024 : une année exceptionnelle en Lavaux","Les vignerons vaudois célèbrent une récolte de grande qualité","Malgré un été capricieux, les vendanges 2024 dans les vignobles en terrasses de Lavaux s'annoncent excellentes. Le chasselas devrait produire des vins d'une finesse remarquable selon les premiers dégustations.",2024-10-09 11:30:00,"{Actualités,Gastronomie,Vaud}"
"Le Conseil fédéral refuse l'initiative pour un 13e salaire minimum","Le gouvernement recommande le rejet de l'initiative populaire","Le Conseil fédéral s'oppose à l'initiative pour un salaire minimum de 4000 francs, estimant qu'elle nuirait à la compétitivité des entreprises suisses. Le peuple devra trancher lors d'une votation prochaine.",2024-10-08 17:00:00,"{Actualités,Politique,Économie}"
"Stan Wawrinka annonce sa retraite internationale","Le Vaudois dispute son dernier match en Coupe Davis","Stan Wawrinka a officialisé la fin de sa carrière en équipe nationale après 19 ans de bons et loyaux services. Le triple vainqueur de Grand Chelem continuera de jouer sur le circuit professionnel.",2024-10-08 14:20:00,"{Sport,Tennis,Vaud}"
"Biennale d'art contemporain de Bienne","Plus de 80 artistes exposent dans la ville bilingue","La Biennale de Bienne ouvre ses portes avec des installations urbaines spectaculaires. Les œuvres explorent les thèmes de l'identité, du multilinguisme et de la cohabitation culturelle.",2024-10-08 10:00:00,"{Culture,Arts,Bienne}"
"Alerte pollution au lac de Neuchâtel","Des analyses révèlent des traces de pesticides inquiétantes","Les autorités neuchâteloises lancent une enquête après la détection de concentrations élevées de pesticides dans les eaux du lac. Des mesures de restriction de la pêche pourraient être prises.",2024-10-07 19:30:00,"{Actualités,Environnement,Neuchâtel}"
"Le BSC Young Boys remporte la Coupe de Suisse","Victoire 2-0 face à Lugano au Wankdorf","Les Bernois soulèvent leur 8e Coupe de Suisse devant 30'000 spectateurs enthousiastes. Un doublé de Jean-Pierre Nsame offre le trophée aux champions en titre de la Super League.",2024-10-07 16:00:00,"{Sport,Football,Berne}"
"Paléo Festival : bilan record pour l'édition 2024","230'000 festivaliers ont convergé vers Nyon","Le Paléo Festival tire un bilan exceptionnel avec une affluence record et une programmation saluée par le public. Les organisateurs annoncent déjà les premières têtes d'affiche pour 2025.",2024-10-07 12:30:00,"{Culture,Musique,Nyon}"
"Crise du logement à Genève","Les prix de l'immobilier atteignent des sommets historiques","Le marché immobilier genevois connaît une tension sans précédent. Le prix moyen du mètre carré dépasse désormais les 15'000 francs, rendant l'accès au logement difficile pour les classes moyennes.",2024-10-06 18:00:00,"{Actualités,Immobilier,Genève}"
"Nico Hischier prolonge avec les New Jersey Devils","Le capitaine valaisan signe jusqu'en 2032","L'attaquant suisse des Devils s'engage pour huit années supplémentaires dans le New Jersey. Un contrat qui fait de lui l'un des joueurs suisses les mieux payés de la NHL.",2024-10-06 22:00:00,"{Sport,Hockey,Valais}"
"Le Château d'Oex accueille le Festival international de ballons","38e édition du rassemblement de montgolfières","Les cieux vaudois se parent de couleurs avec l'arrivée de plus de 80 montgolfières venues du monde entier. Le festival propose neuf jours de vols, de concerts et d'animations familiales.",2024-10-06 14:45:00,"{Culture,Événement,Vaud}"
"Réforme des retraites : le PLR lance une nouvelle initiative","Le parti libéral-radical propose l'âge de la retraite à 67 ans","Face au vieillissement de la population, le PLR soumet une initiative pour relever progressivement l'âge de la retraite. Une proposition qui suscite déjà de vives réactions.",2024-10-05 16:20:00,"{Actualités,Politique,Prévoyance}"
"Breel Embolo de retour avec l'équipe de Suisse","L'attaquant de Monaco retrouve la sélection après sa blessure","Breel Embolo fait son retour dans le groupe suisse pour les matches de qualification à l'Euro 2025. Le Bâlois avait manqué les trois derniers rassemblements en raison d'une blessure au genou.",2024-10-05 13:00:00,"{Sport,Football,Équipe nationale}"
"La RTS lance une nouvelle émission culturelle","'Décryptage Culture' décortique l'actualité artistique romande","La chaîne publique suisse romande propose un nouveau magazine hebdomadaire consacré à la culture. Présenté par Darius Rochebin, il mettra en lumière les créateurs et événements culturels de Suisse romande.",2024-10-05 09:30:00,"{Culture,Médias,Suisse romande}"
"Manifestation pour le climat à Lausanne","10'000 personnes dans les rues de la capitale vaudoise","Une vague verte a déferlé sur Lausanne lors d'une marche pour exiger des mesures plus ambitieuses contre le réchauffement climatique. Les manifestants ont appelé le Conseil fédéral à accélérer la transition énergétique.",2024-10-04 20:00:00,"{Actualités,Environnement,Lausanne}"
"Le FC Sion relégué administrativement","Le TAS confirme la sanction contre le club valaisan","Le Tribunal arbitral du sport a rejeté le recours du FC Sion concernant sa relégation administrative. Le club devra évoluer en Challenge League la saison prochaine suite à des irrégularités financières.",2024-10-04 17:30:00,"{Sport,Football,Valais}"
"Exposition Giacometti à Zürich","Le Kunsthaus présente 200 œuvres du sculpteur suisse","Une rétrospective majeure consacrée à Alberto Giacometti s'ouvre au Kunsthaus de Zürich. L'exposition retrace l'évolution artistique du Grison, de ses débuts surréalistes à ses sculptures filiformes emblématiques.",2024-10-04 14:00:00,"{Culture,Arts,Zürich}"
"La Suisse investit 3 milliards dans le rail","Le Conseil fédéral valide l'extension du réseau ferroviaire","Un important programme d'investissement ferroviaire est approuvé pour améliorer les liaisons régionales et renforcer les axes principaux. Le projet inclut le doublement de la ligne Lausanne-Genève.",2024-10-03 11:45:00,"{Actualités,Transports,Suisse}"
"Belinda Bencic maman pour la première fois","La championne olympique suisse a donné naissance à une fille","Belinda Bencic et son compagnon Martin Hromkovic ont accueilli leur premier enfant. La joueuse suisse, éloignée des courts depuis plusieurs mois, envisage un retour à la compétition en 2025.",2024-10-03 19:00:00,"{Sport,Tennis,Suisse}"
"Le Verbier Festival Orchestra en tournée asiatique","L'orchestre des jeunes talents entame une tournée de trois semaines","Sous la direction de Valery Gergiev, le Verbier Festival Orchestra se produit dans les plus grandes salles de concert d'Asie. Le programme met à l'honneur Tchaïkovski et Rachmaninov.",2024-10-03 15:30:00,"{Culture,Musique,Valais}"
"Polémique autour du projet d'éoliennes dans le Jura","Les associations de défense du paysage s'opposent au parc éolien","Un projet de construction de 15 éoliennes sur les crêtes jurassiennes suscite une levée de boucliers. Les opposants dénoncent une atteinte au patrimoine paysager et à la faune locale.",2024-10-02 18:15:00,"{Actualités,Environnement,Jura}"
"Le HC Davos bat Zoug en finale de la Coupe Spengler","Victoire 4-2 pour les Grisons devant leur public","Le HCD remporte la mythique Coupe Spengler en dominant le champion en titre, le EV Zoug. Un succès qui lance parfaitement la saison des Davosiens.",2024-10-02 22:45:00,"{Sport,Hockey sur glace,Grisons}"
"La Fondation Beyeler présente Monet","150 œuvres du maître impressionniste à Bâle","La Fondation Beyeler accueille la plus importante exposition Monet jamais organisée en Suisse. Les visiteurs peuvent admirer des tableaux prêtés par les plus grands musées mondiaux.",2024-10-02 13:00:00,"{Culture,Arts,Bâle}"
"Scandale de corruption au sein de la FIFA","Des documents révèlent des versements suspects","Une enquête journalistique met au jour des paiements douteux effectués par l'instance mondiale du football. Le ministère public suisse ouvre une procédure pour blanchiment d'argent.",2024-10-01 16:30:00,"{Actualités,Sport,Genève}"
"Xherdan Shaqiri tire sa révérence","Le Bâlois annonce sa retraite internationale à 33 ans","Après 125 sélections et 32 buts, Xherdan Shaqiri met un terme à sa carrière avec l'équipe de Suisse. Le magicien bâlois restera dans les mémoires pour ses buts décisifs en phase finale.",2024-10-01 20:00:00,"{Sport,Football,Bâle}"
"Festival Béjart Ballet Lausanne : 60 ans de danse","Une semaine d'hommage au chorégraphe Maurice Béjart","Le Béjart Ballet Lausanne célèbre six décennies d'excellence chorégraphique avec une programmation exceptionnelle. Les grandes créations de Maurice Béjart sont revisitées par la compagnie.",2024-10-01 11:00:00,"{Culture,Danse,Lausanne}"
"Votations fédérales : les Suisses disent oui au nucléaire","51% des votants approuvent la levée du moratoire","Le peuple suisse accepte de justesse la construction de nouvelles centrales nucléaires. Cette décision marque un tournant dans la politique énergétique helvétique.",2024-09-30 18:00:00,"{Actualités,Politique,Énergie}"
"Clint Capela champion NBA avec les Hawks","Le Genevois soulève son premier titre en carrière","Le pivot suisse des Atlanta Hawks remporte enfin le titre NBA après une finale épique en sept matches. Capela a été décisif dans les rebonds tout au long des playoffs.",2024-09-30 05:00:00,"{Sport,Basketball,Genève}"
"Le Musée Tinguely fête ses 30 ans","Exposition anniversaire des machines cinétiques","Le musée bâlois consacré à Jean Tinguely célèbre trois décennies d'existence avec une exposition rétrospective. Les célèbres machines-sculptures de l'artiste suisse sont mises à l'honneur.",2024-09-29 14:30:00,"{Culture,Arts,Bâle}"
"Crise énergétique : la Suisse rationne l'électricité","Des coupures tournantes programmées cet hiver","Face à la pénurie d'électricité, le Conseil fédéral annonce des mesures de rationnement. Les entreprises et ménages devront réduire leur consommation de 20% durant les pics de demande.",2024-09-29 09:00:00,"{Actualités,Énergie,Suisse}"
"Marco Odermatt remporte son 3e gros globe","Le Nidwaldien domine la saison de ski alpin","Marco Odermatt conclut une saison parfaite en remportant le classement général de la Coupe du monde pour la troisième fois consécutive. Le Suisse s'impose comme le meilleur skieur de sa génération.",2024-09-28 19:45:00,"{Sport,Ski alpin,Nidwald}"
"Les Francofolies de Spa débarquent en Suisse","Un nouveau festival de chanson francophone à Sion","La ville valaisanne accueillera dès 2025 une antenne des célèbres Francofolies. Le festival mettra en avant les artistes francophones suisses et internationaux.",2024-09-28 16:00:00,"{Culture,Musique,Valais}"
"Affaire des fiches : nouveaux documents déclassifiés","Le Conseil fédéral publie des archives secrètes","Des milliers de documents relatifs à la surveillance politique en Suisse durant la Guerre froide sont rendus publics. Ces archives révèlent l'ampleur du fichage des citoyens.",2024-09-28 12:30:00,"{Actualités,Histoire,Suisse}"
"Le Servette FC qualifié pour la Ligue des Champions","Première participation genevoise depuis 1962","Le club grenat réalise l'exploit en se qualifiant pour la phase de poules de la Ligue des Champions. Une première historique qui récompense le travail de l'équipe dirigeante.",2024-09-27 22:00:00,"{Sport,Football,Genève}"
"La Cinémathèque suisse rouvre après rénovation","Le temple du cinéma lausannois fait peau neuve","Après deux ans de travaux, la Cinémathèque suisse dévoile ses nouveaux espaces. Le bâtiment agrandi propose trois salles de projection et un centre de recherche cinématographique.",2024-09-27 17:30:00,"{Culture,Cinéma,Lausanne}"
"Hausse du chômage en Suisse romande","Le taux grimpe à 3,8% dans les cantons francophones","Les statistiques du SECO révèlent une dégradation du marché de l'emploi en Suisse romande. Les secteurs de l'horlogerie et de la construction sont particulièrement touchés.",2024-09-27 10:00:00,"{Actualités,Économie,Suisse romande}"
"Wendy Holdener en tête du slalom de Levi","La Schwyzoise s'impose en Finlande","Wendy Holdener remporte son premier slalom de la saison en devançant Mikaela Shiffrin. La Suissesse lance idéalement sa quête d'un premier gros globe de cristal.",2024-09-26 15:00:00,"{Sport,Ski alpin,Schwyz}"
"Le Festival de la Cité transforme Lausanne","Cinq jours d'arts de la rue dans la capitale vaudoise","Le Festival de la Cité investit les places et rues de Lausanne avec 200 spectacles gratuits. Théâtre, danse, cirque et musique animent la ville durant tout le week-end.",2024-09-26 11:30:00,"{Culture,Festival,Lausanne}"
"Votation cantonale genevoise sur le salaire minimum","Les Genevois approuvent les 23 francs de l'heure","Le canton de Genève adopte le salaire minimum le plus élevé de Suisse avec 23 francs de l'heure. Cette mesure doit entrer en vigueur dès janvier prochain.",2024-09-25 19:00:00,"{Actualités,Politique,Genève}"
"Le SC Berne champion de Suisse de hockey","Les Bernois décrochent leur 17e titre national","Le SCB s'impose en finale des playoffs face aux ZSC Lions. Un titre qui récompense une saison exceptionnelle de la formation de la capitale.",2024-09-25 22:30:00,"{Sport,Hockey sur glace,Berne}"
"Le Musée Jenisch présente Hodler","140 œuvres du peintre bernois à Vevey","Le Musée Jenisch organise une rétrospective Ferdinand Hodler avec des toiles venues de collections privées rarement exposées. L'exposition explore les périodes symboliste et monumentale de l'artiste.",2024-09-25 13:45:00,"{Culture,Arts,Vevey}"
